Mid,Date,Opponent,Event,Legs_You,Legs_Opp,Your_3Dart_Avg,Your_First9,Your_Checkout%,Your_High_Finish,Your_Checkout_Makes,Your_Checkout_Attempts,Your_60_Plus,Your_80_Plus,Your_100_Plus,Your_120_Plus,Your_140_Plus,Your_170_Plus,Your_180s,Your_100_Plus_Finishes,Your_Best_Leg_Darts,Your_Worst_Leg_Darts,Opp_3Dart_Avg,Opp_First9,Opp_Checkout%,Opp_High_Finish,Opp_Checkout_Makes,Opp_Checkout_Attempts,Opp_60_Plus,Opp_80_Plus,Opp_100_Plus,Opp_120_Plus,Opp_140_Plus,Opp_170_Plus,Opp_180s,Opp_100_Plus_Finishes,Opp_Best_Leg_Darts,Opp_Worst_Leg_Darts
a8q5xgmS_1754683271847,2025-08-08,wayne green,🏆 Cardboard Box Division 🏆 #7,0,2,30.84,36.33,0.0,,0,24,0,3,1,0,0,0,0,0,,,30.36,45.33,6.2,16,2,32,0,3,2,0,0,0,0,0,42,57
lIbeIOfU_1754681288329,2025-08-08,Alex Boag-Munroe,🏆 Cardboard Box Division 🏆 #7,2,1,33.47,39.11,5.6,50,2,36,2,2,0,1,0,0,0,0,33,59,32.35,50.33,2.4,4,1,41,1,4,3,0,0,0,0,0,43,43
GFwypShh_1754678747671,2025-08-08,Neil Moore,🏆 Cardboard Box Division 🏆 #7,1,2,31.68,28.33,14.3,24,1,7,1,1,1,0,0,0,0,0,47,47,45.42,71.56,7.7,20,2,26,6,2,1,1,1,0,0,0,19,35
tIaLZqsW_1754677404080,2025-08-08,Dawid Kopelciw,🏆 Cardboard Box Division 🏆 #7,2,0,40.62,55.5,15.4,20,2,13,4,2,1,0,0,0,0,0,34,40,38.48,34.0,0.0,,0,9,2,0,0,0,0,0,0,0,,
cQ1ttuci_1754672776517,2025-08-08,wayne jones🏴󠁧󠁢󠁷󠁬󠁳󠁿🍻🍺🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,,0,2,37.81,38.67,,,0,0,2,0,0,0,0,0,0,0,,,61.35,67.5,20.0,70,2,10,3,4,0,1,0,0,0,0,23,26
n0Kz8pHl_1755476583942,2025-08-17,Fabian Beltran,,0,2,37.17,38.33,0.0,,0,8,2,0,0,0,0,0,0,0,,,44.21,41.5,18.2,36,2,11,3,0,2,0,0,0,0,0,31,37
oLfRaj1p_1755474075838,2025-08-17,Dinky Evans,,0,2,34.15,33.5,0.0,,0,17,1,2,0,0,0,0,0,0,,,37.58,43.5,10.5,30,2,19,2,2,0,0,0,0,0,0,29,51
OAtVYb7n_1755543980143,2025-08-18,Alex Boag-Munroe,Dartsmatt Development Tour #10,1,2,39.98,34.44,4.0,40,1,25,5,5,0,0,0,0,0,0,41,41,39.69,56.33,8.3,8,2,24,2,5,0,0,1,0,0,0,33,41
1WPOeWg0_1755542086967,2025-08-18,kelvin langley,Dartsmatt Development Tour #10,2,0,38.54,25.0,13.3,6,2,15,2,1,1,1,0,0,0,0,37,41,36.62,42.33,0.0,,0,15,5,0,0,0,0,0,0,0,,
B7EHatWc_1755541389007,2025-08-18,Alexandru 🇷🇴,Dartsmatt Development Tour #10,0,2,32.9,34.17,,,0,0,0,1,0,0,0,0,0,0,,,46.97,61.0,10.5,40,2,19,4,2,1,0,0,0,0,0,30,34
awDIzvO6_1756150708624,2025-08-25,Kevin Newman,Dartsmatt Development Tour #11,1,2,33.05,43.22,4.0,35,1,25,2,3,0,0,0,0,0,0,48,48,33.86,50.11,5.9,10,2,34,5,3,2,0,0,0,0,0,41,44
kQtmoRo0_1756149858605,2025-08-25,Alexandru 🇷🇴,Dartsmatt Development Tour #11,0,2,33.75,37.33,0.0,,0,12,1,1,0,0,0,0,0,0,,,40.62,50.17,11.8,35,2,17,5,1,1,0,0,0,0,0,26,48
AE2atecd_1756147873244,2025-08-25,Lander Valentin,Dartsmatt Development Tour #11,1,2,25.26,49.33,2.1,4,1,47,5,0,0,1,0,0,0,0,43,43,28.32,39.0,4.7,16,2,43,4,4,1,0,0,0,0,0,32,85
JPdpIrvd_1756146353878,2025-08-25,Richard Harris,Dartsmatt Development Tour #11,1,2,36.12,31.33,3.3,40,1,30,5,2,1,0,0,0,0,0,34,34,36.76,42.89,7.7,16,2,26,6,3,2,0,0,0,0,0,37,52
gVWtR4r5_1758329370561,2025-09-19,Shaun,,0,3,37.41,32.67,0.0,,0,15,4,2,0,0,1,0,0,0,,,45.09,64.0,13.0,35,3,23,4,5,1,1,0,0,0,0,24,44
t32cxhp4_1758307129662,2025-09-19,Mister Blue (cam only),,3,1,35.96,37.42,10.0,32,3,30,3,3,1,0,0,0,0,0,35,51,37.06,39.33,3.8,32,1,26,5,3,0,0,0,0,0,0,35,35
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,3,6,35.29,35.56,4.2,32,3,71,7,9,0,0,1,0,0,0,37,42,36.72,48.11,7.1,24,6,85,9,8,2,0,1,0,0,0,31,60
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,4,6,35.42,45.33,7.8,103,4,51,11,8,1,0,2,0,0,1,24,45,40.37,61.33,7.6,20,6,79,16,10,4,3,1,0,0,0,19,62
jOdpBTEv_1759172894142,2025-09-29,Alex Boag-Munroe,Dartsmatt Development Tour #16,1,3,39.99,53.5,4.2,16,1,24,4,4,1,0,0,0,0,0,34,34,41.08,45.17,8.3,40,3,36,5,5,0,1,0,0,0,0,33,39
7LYVv4E4_1759171946814,2025-09-29,Tony Bennett,Dartsmatt Development Tour #16,0,2,37.29,53.5,0.0,,0,15,3,1,0,0,0,0,0,0,,,41.18,42.83,11.1,40,2,18,3,4,0,0,0,0,0,0,33,40
Uk8QjXu6_1759170309223,2025-09-29,elJebus 0,Dartsmatt Development Tour #16,2,0,39.55,52.5,11.8,36,2,17,1,4,0,0,0,0,0,0,37,39,39.36,41.0,0.0,,0,16,2,1,1,0,0,0,0,0,,
UEjgzVVB_1759168957746,2025-09-29,Kevin Newman,Dartsmatt Development Tour #16,2,0,27.08,41.67,8.3,75,2,24,7,0,1,0,0,0,0,0,35,76,26.32,43.17,0.0,,0,25,1,3,0,0,0,0,0,0,,
vatFBNjn_1759706138095,2025-10-05,Herbalist,,3,1,26.75,38.0,4.5,4,3,66,8,0,1,0,0,0,0,0,50,63,26.85,49.67,1.6,10,1,63,5,3,2,0,0,0,0,0,53,53
