Mid,Date,Opponent,Event,Leg,Player,Won,Darts,CheckoutValue,StartScore
GFwypShh_1754678747671,2025-08-08,Neil Moore,🏆 Cardboard Box Division 🏆 #7,1,Opponent,1,19,4,501
GFwypShh_1754678747671,2025-08-08,Neil Moore,🏆 Cardboard Box Division 🏆 #7,1,You,0,,,501
GFwypShh_1754678747671,2025-08-08,Neil Moore,🏆 Cardboard Box Division 🏆 #7,2,Opponent,0,,,501
GFwypShh_1754678747671,2025-08-08,Neil Moore,🏆 Cardboard Box Division 🏆 #7,2,You,1,47,24,501
GFwypShh_1754678747671,2025-08-08,Neil Moore,🏆 Cardboard Box Division 🏆 #7,3,Opponent,1,35,20,501
GFwypShh_1754678747671,2025-08-08,Neil Moore,🏆 Cardboard Box Division 🏆 #7,3,You,0,,,501
a8q5xgmS_1754683271847,2025-08-08,wayne green,🏆 Cardboard Box Division 🏆 #7,1,You,0,,,501
a8q5xgmS_1754683271847,2025-08-08,wayne green,🏆 Cardboard Box Division 🏆 #7,1,Opponent,1,42,4,501
a8q5xgmS_1754683271847,2025-08-08,wayne green,🏆 Cardboard Box Division 🏆 #7,2,You,0,,,501
a8q5xgmS_1754683271847,2025-08-08,wayne green,🏆 Cardboard Box Division 🏆 #7,2,Opponent,1,57,16,501
cQ1ttuci_1754672776517,2025-08-08,wayne jones🏴󠁧󠁢󠁷󠁬󠁳󠁿🍻🍺🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,,1,You,0,,,501
cQ1ttuci_1754672776517,2025-08-08,wayne jones🏴󠁧󠁢󠁷󠁬󠁳󠁿🍻🍺🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,,1,Opponent,1,26,2,501
